sequenceID	source.name	species	subtype	genotype
MZ004643	ncbi-nuccore-hmpv	HMPV	-	-
MZ004644	ncbi-nuccore-hmpv	HMPV	-	-
MZ004645	ncbi-nuccore-hmpv	HMPV	A	A2b1
MZ004646	ncbi-nuccore-hmpv	HMPV	-	-
MZ004647	ncbi-nuccore-hmpv	HMPV	-	-
MZ004648	ncbi-nuccore-hmpv	HMPV	-	-
MZ215789	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215790	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215791	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215792	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215793	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215794	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215795	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215796	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215797	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215798	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215799	ncbi-nuccore-hmpv	HMPV	B	B2
MZ215800	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215801	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215802	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215803	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215804	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215805	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215806	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215807	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215808	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ215809	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ215810	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ215811	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ215812	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ215813	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ215814	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215815	ncbi-nuccore-hmpv	HMPV	B	B1
MZ215816	ncbi-nuccore-hmpv	HMPV	B	B1
MZ221200	ncbi-nuccore-hmpv	HMPV	B	B1
MZ221201	ncbi-nuccore-hmpv	HMPV	B	B1
MZ221202	ncbi-nuccore-hmpv	HMPV	B	B1
MZ221203	ncbi-nuccore-hmpv	HMPV	B	B2
MZ221204	ncbi-nuccore-hmpv	HMPV	B	B2
MZ221975	ncbi-nuccore-hmpv	HMPV	A	A1
MZ221976	ncbi-nuccore-hmpv	HMPV	A	-
MZ221977	ncbi-nuccore-hmpv	HMPV	A	A1
MZ221978	ncbi-nuccore-hmpv	HMPV	A	A1
MZ221979	ncbi-nuccore-hmpv	HMPV	A	A1
MZ221980	ncbi-nuccore-hmpv	HMPV	A	A1
MZ221981	ncbi-nuccore-hmpv	HMPV	A	-
MZ221982	ncbi-nuccore-hmpv	HMPV	A	A1
MZ221983	ncbi-nuccore-hmpv	HMPV	A	-
MZ493320	ncbi-nuccore-hmpv	-	-	-
MZ493321	ncbi-nuccore-hmpv	-	-	-
MZ493322	ncbi-nuccore-hmpv	-	-	-
MZ493323	ncbi-nuccore-hmpv	-	-	-
MZ493324	ncbi-nuccore-hmpv	-	-	-
MZ493325	ncbi-nuccore-hmpv	-	-	-
MZ493326	ncbi-nuccore-hmpv	-	-	-
MZ493327	ncbi-nuccore-hmpv	-	-	-
MZ493328	ncbi-nuccore-hmpv	-	-	-
MZ493329	ncbi-nuccore-hmpv	-	-	-
MZ493330	ncbi-nuccore-hmpv	-	-	-
MZ493331	ncbi-nuccore-hmpv	-	-	-
MZ493332	ncbi-nuccore-hmpv	-	-	-
MZ493333	ncbi-nuccore-hmpv	-	-	-
MZ493334	ncbi-nuccore-hmpv	-	-	-
MZ493335	ncbi-nuccore-hmpv	-	-	-
MZ493336	ncbi-nuccore-hmpv	-	-	-
MZ504958	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ504959	ncbi-nuccore-hmpv	HMPV	B	B1
MZ504960	ncbi-nuccore-hmpv	HMPV	B	B1
MZ504961	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ504962	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ504963	ncbi-nuccore-hmpv	HMPV	B	B1
MZ504964	ncbi-nuccore-hmpv	HMPV	B	B2
MZ504965	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ504966	ncbi-nuccore-hmpv	HMPV	B	B2
MZ504967	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851793	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851794	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851795	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851796	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851797	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851992	ncbi-nuccore-hmpv	HMPV	A	A2b2
MZ851993	ncbi-nuccore-hmpv	HMPV	A	A2b2
NC_039199	ncbi-nuccore-hmpv	HMPV	A	A1
OK644703	ncbi-nuccore-hmpv	HMPV	B	B1
OL625613	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625614	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625615	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625616	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625617	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625618	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625619	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625620	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625621	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625622	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625623	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625624	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625625	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625626	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625627	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625628	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625629	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625630	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625631	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL625632	ncbi-nuccore-hmpv	HMPV	A	-
OL625633	ncbi-nuccore-hmpv	HMPV	A	-
OL625634	ncbi-nuccore-hmpv	HMPV	A	-
OL625635	ncbi-nuccore-hmpv	HMPV	A	-
OL625636	ncbi-nuccore-hmpv	HMPV	A	-
OL625637	ncbi-nuccore-hmpv	HMPV	A	-
OL625638	ncbi-nuccore-hmpv	HMPV	B	B1
OL625639	ncbi-nuccore-hmpv	HMPV	B	B1
OL625640	ncbi-nuccore-hmpv	HMPV	B	B1
OL625641	ncbi-nuccore-hmpv	HMPV	B	B2
OL625642	ncbi-nuccore-hmpv	HMPV	B	B2
OL625643	ncbi-nuccore-hmpv	HMPV	B	B2
OL625644	ncbi-nuccore-hmpv	HMPV	B	B2
OL794355	ncbi-nuccore-hmpv	HMPV	A	A1
OL794356	ncbi-nuccore-hmpv	HMPV	B	B1
OL794357	ncbi-nuccore-hmpv	HMPV	B	B1
OL794358	ncbi-nuccore-hmpv	HMPV	B	B1
OL794359	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794360	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794361	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794362	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794363	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794364	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794365	ncbi-nuccore-hmpv	HMPV	B	B2
OL794366	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794367	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794368	ncbi-nuccore-hmpv	HMPV	B	B2
OL794369	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794370	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794371	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794372	ncbi-nuccore-hmpv	HMPV	B	B1
OL794373	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794374	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794375	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794376	ncbi-nuccore-hmpv	HMPV	B	B2
OL794377	ncbi-nuccore-hmpv	HMPV	B	B2
OL794378	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794379	ncbi-nuccore-hmpv	HMPV	B	B2
OL794380	ncbi-nuccore-hmpv	HMPV	B	B2
OL794381	ncbi-nuccore-hmpv	HMPV	B	B2
OL794382	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794383	ncbi-nuccore-hmpv	HMPV	B	B1
OL794384	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794385	ncbi-nuccore-hmpv	HMPV	B	B2
OL794386	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794387	ncbi-nuccore-hmpv	HMPV	B	B2
OL794388	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794389	ncbi-nuccore-hmpv	HMPV	A	A1
OL794390	ncbi-nuccore-hmpv	HMPV	B	B2
OL794391	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794392	ncbi-nuccore-hmpv	HMPV	B	B2
OL794393	ncbi-nuccore-hmpv	HMPV	B	B2
OL794394	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794395	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794396	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794397	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794398	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794399	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794400	ncbi-nuccore-hmpv	HMPV	B	B2
OL794401	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794402	ncbi-nuccore-hmpv	HMPV	B	B2
OL794403	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794404	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794405	ncbi-nuccore-hmpv	HMPV	B	B2
OL794406	ncbi-nuccore-hmpv	HMPV	B	B1
OL794407	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794408	ncbi-nuccore-hmpv	HMPV	B	B1
OL794409	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794410	ncbi-nuccore-hmpv	HMPV	B	B2
OL794411	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794412	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794413	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794414	ncbi-nuccore-hmpv	HMPV	B	B1
OL794415	ncbi-nuccore-hmpv	HMPV	B	B2
OL794416	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794417	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794418	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794419	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794420	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794421	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794422	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794423	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794424	ncbi-nuccore-hmpv	HMPV	B	B1
OL794425	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794426	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794427	ncbi-nuccore-hmpv	HMPV	B	B2
OL794428	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794429	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794430	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794431	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794432	ncbi-nuccore-hmpv	HMPV	B	B2
OL794433	ncbi-nuccore-hmpv	HMPV	B	B1
OL794434	ncbi-nuccore-hmpv	HMPV	B	B2
OL794435	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794436	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794437	ncbi-nuccore-hmpv	HMPV	B	B1
OL794438	ncbi-nuccore-hmpv	HMPV	B	B2
OL794439	ncbi-nuccore-hmpv	HMPV	B	B2
OL794440	ncbi-nuccore-hmpv	HMPV	B	B1
OL794441	ncbi-nuccore-hmpv	HMPV	B	B2
OL794442	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794443	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794444	ncbi-nuccore-hmpv	HMPV	A	-
OL794445	ncbi-nuccore-hmpv	HMPV	B	B2
OL794446	ncbi-nuccore-hmpv	HMPV	B	B2
OL794447	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794448	ncbi-nuccore-hmpv	HMPV	B	B2
OL794449	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794450	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794451	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794452	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794453	ncbi-nuccore-hmpv	HMPV	B	B2
OL794454	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794455	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794456	ncbi-nuccore-hmpv	HMPV	A	-
OL794457	ncbi-nuccore-hmpv	HMPV	B	B2
OL794458	ncbi-nuccore-hmpv	HMPV	B	B2
OL794459	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794460	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794461	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794462	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794463	ncbi-nuccore-hmpv	HMPV	B	B1
OL794464	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794465	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794466	ncbi-nuccore-hmpv	HMPV	B	B2
OL794467	ncbi-nuccore-hmpv	HMPV	B	B2
OL794468	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794469	ncbi-nuccore-hmpv	HMPV	A	A2a
OL794470	ncbi-nuccore-hmpv	HMPV	B	B2
OL794471	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794472	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794473	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794474	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794475	ncbi-nuccore-hmpv	HMPV	B	B2
OL794476	ncbi-nuccore-hmpv	HMPV	B	B2
OL794477	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794478	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794479	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794480	ncbi-nuccore-hmpv	HMPV	A	A2b1
OL794481	ncbi-nuccore-hmpv	HMPV	A	A2b2
OL794482	ncbi-nuccore-hmpv	HMPV	B	B1
OL794483	ncbi-nuccore-hmpv	HMPV	B	B2
OM243131	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243132	ncbi-nuccore-hmpv	HMPV	-	-
OM243133	ncbi-nuccore-hmpv	HMPV	B	B2
OM243134	ncbi-nuccore-hmpv	HMPV	-	-
OM243135	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243136	ncbi-nuccore-hmpv	-	-	-
OM243137	ncbi-nuccore-hmpv	HMPV	B	B2
OM243138	ncbi-nuccore-hmpv	HMPV	-	-
OM243139	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243140	ncbi-nuccore-hmpv	HMPV	B	B2
OM243141	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243142	ncbi-nuccore-hmpv	HMPV	A	-
OM243143	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243144	ncbi-nuccore-hmpv	HMPV	-	-
OM243145	ncbi-nuccore-hmpv	HMPV	-	-
OM243146	ncbi-nuccore-hmpv	HMPV	-	-
OM243147	ncbi-nuccore-hmpv	HMPV	B	B2
OM243148	ncbi-nuccore-hmpv	HMPV	-	-
OM243149	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243150	ncbi-nuccore-hmpv	HMPV	B	B1
OM243151	ncbi-nuccore-hmpv	HMPV	B	B1
OM243152	ncbi-nuccore-hmpv	HMPV	B	B1
OM243153	ncbi-nuccore-hmpv	HMPV	B	B2
OM243154	ncbi-nuccore-hmpv	HMPV	-	-
OM243155	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243156	ncbi-nuccore-hmpv	HMPV	-	-
OM243157	ncbi-nuccore-hmpv	HMPV	B	B2
OM243158	ncbi-nuccore-hmpv	HMPV	B	B2
OM243159	ncbi-nuccore-hmpv	HMPV	B	B1
OM243160	ncbi-nuccore-hmpv	HMPV	B	B2
OM243161	ncbi-nuccore-hmpv	HMPV	B	B1
OM243162	ncbi-nuccore-hmpv	HMPV	-	-
OM243163	ncbi-nuccore-hmpv	HMPV	B	B2
OM243164	ncbi-nuccore-hmpv	HMPV	B	B2
OM243165	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243166	ncbi-nuccore-hmpv	HMPV	-	-
OM243167	ncbi-nuccore-hmpv	HMPV	-	-
OM243168	ncbi-nuccore-hmpv	HMPV	-	-
OM243169	ncbi-nuccore-hmpv	HMPV	-	-
OM243170	ncbi-nuccore-hmpv	HMPV	-	-
OM243171	ncbi-nuccore-hmpv	HMPV	-	-
OM243172	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243173	ncbi-nuccore-hmpv	HMPV	-	-
OM243174	ncbi-nuccore-hmpv	HMPV	-	-
OM243175	ncbi-nuccore-hmpv	HMPV	B	B1
OM243176	ncbi-nuccore-hmpv	HMPV	B	B2
OM243177	ncbi-nuccore-hmpv	HMPV	-	-
OM243178	ncbi-nuccore-hmpv	HMPV	B	B2
OM243179	ncbi-nuccore-hmpv	HMPV	B	B1
OM243180	ncbi-nuccore-hmpv	HMPV	B	B1
OM243181	ncbi-nuccore-hmpv	HMPV	B	B2
OM243182	ncbi-nuccore-hmpv	HMPV	-	-
OM243183	ncbi-nuccore-hmpv	HMPV	-	-
OM243184	ncbi-nuccore-hmpv	HMPV	B	B2
OM243185	ncbi-nuccore-hmpv	HMPV	B	B2
OM243186	ncbi-nuccore-hmpv	HMPV	B	B2
OM243187	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243188	ncbi-nuccore-hmpv	HMPV	-	-
OM243189	ncbi-nuccore-hmpv	HMPV	-	-
OM243190	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243191	ncbi-nuccore-hmpv	HMPV	B	B2
OM243192	ncbi-nuccore-hmpv	HMPV	B	B2
OM243193	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243194	ncbi-nuccore-hmpv	HMPV	B	B2
OM243195	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243196	ncbi-nuccore-hmpv	HMPV	B	B1
OM243197	ncbi-nuccore-hmpv	HMPV	B	B2
OM243198	ncbi-nuccore-hmpv	HMPV	-	-
OM243199	ncbi-nuccore-hmpv	HMPV	-	-
OM243200	ncbi-nuccore-hmpv	HMPV	-	-
OM243201	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243202	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243203	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243204	ncbi-nuccore-hmpv	HMPV	B	B2
OM243205	ncbi-nuccore-hmpv	HMPV	-	-
OM243206	ncbi-nuccore-hmpv	HMPV	B	B2
OM243207	ncbi-nuccore-hmpv	HMPV	B	B2
OM243208	ncbi-nuccore-hmpv	HMPV	B	B2
OM243209	ncbi-nuccore-hmpv	HMPV	-	-
OM243210	ncbi-nuccore-hmpv	HMPV	B	B2
OM243211	ncbi-nuccore-hmpv	HMPV	B	B2
OM243212	ncbi-nuccore-hmpv	HMPV	-	-
OM243213	ncbi-nuccore-hmpv	HMPV	B	B1
OM243214	ncbi-nuccore-hmpv	HMPV	-	-
OM243215	ncbi-nuccore-hmpv	HMPV	B	B2
OM243216	ncbi-nuccore-hmpv	HMPV	-	-
OM243217	ncbi-nuccore-hmpv	HMPV	-	-
OM243218	ncbi-nuccore-hmpv	HMPV	-	-
OM243219	ncbi-nuccore-hmpv	HMPV	B	B2
OM243220	ncbi-nuccore-hmpv	HMPV	-	-
OM243221	ncbi-nuccore-hmpv	HMPV	-	-
OM243222	ncbi-nuccore-hmpv	HMPV	B	B1
OM243223	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243224	ncbi-nuccore-hmpv	HMPV	-	-
OM243225	ncbi-nuccore-hmpv	HMPV	-	-
OM243226	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243227	ncbi-nuccore-hmpv	HMPV	-	-
OM243228	ncbi-nuccore-hmpv	HMPV	-	-
OM243229	ncbi-nuccore-hmpv	HMPV	-	-
OM243230	ncbi-nuccore-hmpv	HMPV	-	-
OM243231	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243232	ncbi-nuccore-hmpv	HMPV	-	-
OM243233	ncbi-nuccore-hmpv	HMPV	-	-
OM243234	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243235	ncbi-nuccore-hmpv	HMPV	B	B2
OM243236	ncbi-nuccore-hmpv	HMPV	-	-
OM243237	ncbi-nuccore-hmpv	HMPV	B	B1
OM243238	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243239	ncbi-nuccore-hmpv	HMPV	-	-
OM243240	ncbi-nuccore-hmpv	HMPV	B	B1
OM243241	ncbi-nuccore-hmpv	HMPV	-	-
OM243242	ncbi-nuccore-hmpv	HMPV	B	B2
OM243243	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243244	ncbi-nuccore-hmpv	HMPV	-	-
OM243245	ncbi-nuccore-hmpv	HMPV	B	B2
OM243246	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243247	ncbi-nuccore-hmpv	HMPV	B	B1
OM243248	ncbi-nuccore-hmpv	HMPV	-	-
OM243249	ncbi-nuccore-hmpv	HMPV	-	-
OM243250	ncbi-nuccore-hmpv	HMPV	B	B2
OM243251	ncbi-nuccore-hmpv	HMPV	B	B2
OM243252	ncbi-nuccore-hmpv	HMPV	B	B2
OM243253	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243254	ncbi-nuccore-hmpv	HMPV	-	-
OM243255	ncbi-nuccore-hmpv	HMPV	B	B2
OM243256	ncbi-nuccore-hmpv	HMPV	B	B2
OM243257	ncbi-nuccore-hmpv	HMPV	B	B2
OM243258	ncbi-nuccore-hmpv	HMPV	-	-
OM243259	ncbi-nuccore-hmpv	HMPV	B	B1
OM243260	ncbi-nuccore-hmpv	HMPV	-	-
OM243261	ncbi-nuccore-hmpv	HMPV	-	-
OM243262	ncbi-nuccore-hmpv	HMPV	-	-
OM243263	ncbi-nuccore-hmpv	HMPV	B	B2
OM243264	ncbi-nuccore-hmpv	HMPV	B	B1
OM243265	ncbi-nuccore-hmpv	HMPV	B	B2
OM243266	ncbi-nuccore-hmpv	HMPV	B	B1
OM243267	ncbi-nuccore-hmpv	HMPV	-	-
OM243268	ncbi-nuccore-hmpv	HMPV	-	-
OM243269	ncbi-nuccore-hmpv	HMPV	B	B1
OM243270	ncbi-nuccore-hmpv	HMPV	B	B1
OM243271	ncbi-nuccore-hmpv	HMPV	-	-
OM243272	ncbi-nuccore-hmpv	HMPV	B	B2
OM243273	ncbi-nuccore-hmpv	HMPV	-	-
OM243274	ncbi-nuccore-hmpv	HMPV	-	-
OM243275	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243276	ncbi-nuccore-hmpv	HMPV	-	-
OM243277	ncbi-nuccore-hmpv	HMPV	-	-
OM243278	ncbi-nuccore-hmpv	HMPV	B	B2
OM243279	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243280	ncbi-nuccore-hmpv	HMPV	-	-
OM243281	ncbi-nuccore-hmpv	HMPV	B	B1
OM243282	ncbi-nuccore-hmpv	HMPV	-	-
OM243283	ncbi-nuccore-hmpv	HMPV	-	-
OM243284	ncbi-nuccore-hmpv	HMPV	-	-
OM243285	ncbi-nuccore-hmpv	HMPV	B	B2
OM243286	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243287	ncbi-nuccore-hmpv	HMPV	-	-
OM243288	ncbi-nuccore-hmpv	HMPV	A	A2b1
OM243289	ncbi-nuccore-hmpv	HMPV	-	-
OM243290	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243291	ncbi-nuccore-hmpv	HMPV	-	-
OM243292	ncbi-nuccore-hmpv	HMPV	-	-
OM243293	ncbi-nuccore-hmpv	HMPV	-	-
OM243294	ncbi-nuccore-hmpv	HMPV	B	B2
OM243295	ncbi-nuccore-hmpv	HMPV	-	-
OM243296	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243297	ncbi-nuccore-hmpv	HMPV	B	B1
OM243298	ncbi-nuccore-hmpv	HMPV	B	B2
OM243299	ncbi-nuccore-hmpv	HMPV	B	B1
OM243300	ncbi-nuccore-hmpv	HMPV	-	-
OM243301	ncbi-nuccore-hmpv	HMPV	-	-
OM243302	ncbi-nuccore-hmpv	HMPV	B	B2
OM243303	ncbi-nuccore-hmpv	HMPV	-	-
OM243304	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243305	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243306	ncbi-nuccore-hmpv	HMPV	-	-
OM243307	ncbi-nuccore-hmpv	HMPV	B	B2
OM243308	ncbi-nuccore-hmpv	HMPV	B	B2
OM243309	ncbi-nuccore-hmpv	HMPV	-	-
OM243310	ncbi-nuccore-hmpv	HMPV	-	-
OM243311	ncbi-nuccore-hmpv	HMPV	-	-
OM243312	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243313	ncbi-nuccore-hmpv	HMPV	B	B2
OM243314	ncbi-nuccore-hmpv	HMPV	-	-
OM243315	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243316	ncbi-nuccore-hmpv	HMPV	-	-
OM243317	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243318	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243319	ncbi-nuccore-hmpv	HMPV	-	-
OM243320	ncbi-nuccore-hmpv	HMPV	B	B2
OM243321	ncbi-nuccore-hmpv	HMPV	B	B2
OM243322	ncbi-nuccore-hmpv	HMPV	-	-
OM243323	ncbi-nuccore-hmpv	HMPV	B	B1
OM243324	ncbi-nuccore-hmpv	HMPV	B	B2
OM243325	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243326	ncbi-nuccore-hmpv	HMPV	-	-
OM243327	ncbi-nuccore-hmpv	HMPV	B	B1
OM243328	ncbi-nuccore-hmpv	HMPV	-	-
OM243329	ncbi-nuccore-hmpv	HMPV	B	B2
OM243330	ncbi-nuccore-hmpv	HMPV	-	-
OM243331	ncbi-nuccore-hmpv	HMPV	B	B1
OM243332	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243333	ncbi-nuccore-hmpv	HMPV	B	B1
OM243334	ncbi-nuccore-hmpv	HMPV	-	-
OM243335	ncbi-nuccore-hmpv	HMPV	B	B1
OM243336	ncbi-nuccore-hmpv	HMPV	B	B2
OM243337	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243338	ncbi-nuccore-hmpv	HMPV	A	A2b2
OM243339	ncbi-nuccore-hmpv	HMPV	B	B2
OM243340	ncbi-nuccore-hmpv	HMPV	B	B2
OM243341	ncbi-nuccore-hmpv	HMPV	B	B2
OM243342	ncbi-nuccore-hmpv	HMPV	-	-
OM243343	ncbi-nuccore-hmpv	HMPV	B	B2
OM243344	ncbi-nuccore-hmpv	HMPV	-	-
